Depth,Vp_blk,Vs_blk,Rho_blk,Vsh_blk
1674.67,3.299,1.846,2.421,0.582
1674.82,3.299,1.846,2.421,0.582
1674.97,3.299,1.846,2.421,0.582
1675.12,3.299,1.846,2.421,0.582
1675.28,3.299,1.846,2.421,0.582
1675.43,3.299,1.846,2.421,0.582
1675.58,3.299,1.846,2.421,0.582
1675.73,3.299,1.846,2.421,0.582
1675.88,3.299,1.846,2.421,0.582
1676.04,3.299,1.846,2.421,0.582
1676.19,3.299,1.846,2.421,0.582
1676.34,3.299,1.846,2.421,0.582
1676.49,3.299,1.846,2.421,0.582
1676.65,3.299,1.846,2.421,0.582
1676.8,3.299,1.846,2.421,0.582
1676.95,3.299,1.846,2.421,0.582
1677.1,3.299,1.846,2.421,0.582
1677.26,3.299,1.846,2.421,0.582
1677.41,3.299,1.846,2.421,0.582
1677.56,3.299,1.846,2.421,0.582
1677.71,3.299,1.846,2.421,0.582
1677.87,3.299,1.846,2.421,0.582
1678.02,3.299,1.846,2.421,0.582
1678.17,3.299,1.846,2.421,0.582
1678.32,3.299,1.846,2.421,0.582
1678.48,3.299,1.846,2.421,0.582
1678.63,3.299,1.846,2.421,0.582
1678.78,3.299,1.846,2.421,0.582
1678.93,3.299,1.846,2.421,0.582
1679.09,3.299,1.846,2.421,0.582
1679.24,3.299,1.846,2.421,0.582
1679.39,3.299,1.846,2.421,0.582
1679.54,3.299,1.846,2.421,0.582
1679.69,3.299,1.846,2.421,0.582
1679.85,3.299,1.846,2.421,0.582
1680.0,3.278,1.773,2.445,0.709
1680.15,3.278,1.773,2.445,0.709
1680.3,3.278,1.773,2.445,0.709
1680.46,3.278,1.773,2.445,0.709
1680.61,3.278,1.773,2.445,0.709
1680.76,3.278,1.773,2.445,0.709
1680.91,3.278,1.773,2.445,0.709
1681.07,3.278,1.773,2.445,0.709
1681.22,3.278,1.773,2.445,0.709
1681.37,3.278,1.773,2.445,0.709
1681.52,3.278,1.773,2.445,0.709
1681.68,3.278,1.773,2.445,0.709
1681.83,3.278,1.773,2.445,0.709
1681.98,3.278,1.773,2.445,0.709
1682.13,3.278,1.773,2.445,0.709
1682.29,3.278,1.773,2.445,0.709
1682.44,3.278,1.773,2.445,0.709
1682.59,3.278,1.773,2.445,0.709
1682.74,3.278,1.773,2.445,0.709
1682.9,3.278,1.773,2.445,0.709
1683.05,3.278,1.773,2.445,0.709
1683.2,3.278,1.773,2.445,0.709
1683.35,3.278,1.773,2.445,0.709
1683.5,3.278,1.773,2.445,0.709
1683.66,3.278,1.773,2.445,0.709
1683.81,3.278,1.773,2.445,0.709
1683.96,3.278,1.773,2.445,0.709
1684.11,3.278,1.773,2.445,0.709
1684.27,3.278,1.773,2.445,0.709
1684.42,3.278,1.773,2.445,0.709
1684.57,3.278,1.773,2.445,0.709
1684.72,3.278,1.773,2.445,0.709
1684.88,3.278,1.773,2.445,0.709
1685.03,3.278,1.773,2.445,0.709
1685.18,3.278,1.773,2.445,0.709
1685.33,3.278,1.773,2.445,0.709
1685.49,3.278,1.773,2.445,0.709
1685.64,3.278,1.773,2.445,0.709
1685.79,3.278,1.773,2.445,0.709
1685.94,3.278,1.773,2.445,0.709
1686.1,3.278,1.773,2.445,0.709
1686.25,3.278,1.773,2.445,0.709
1686.4,3.278,1.773,2.445,0.709
1686.55,3.278,1.773,2.445,0.709
1686.71,3.278,1.773,2.445,0.709
1686.86,3.278,1.773,2.445,0.709
1687.01,3.278,1.773,2.445,0.709
1687.16,3.278,1.773,2.445,0.709
1687.31,3.278,1.773,2.445,0.709
1687.47,3.278,1.773,2.445,0.709
1687.62,3.278,1.773,2.445,0.709
1687.77,3.278,1.773,2.445,0.709
1687.92,3.278,1.773,2.445,0.709
1688.08,3.278,1.773,2.445,0.709
1688.23,3.278,1.773,2.445,0.709
1688.38,3.278,1.773,2.445,0.709
1688.53,3.278,1.773,2.445,0.709
1688.69,3.278,1.773,2.445,0.709
1688.84,3.278,1.773,2.445,0.709
1688.99,3.278,1.773,2.445,0.709
1689.14,3.278,1.773,2.445,0.709
1689.3,3.278,1.773,2.445,0.709
1689.45,3.278,1.773,2.445,0.709
1689.6,3.278,1.773,2.445,0.709
1689.75,3.278,1.773,2.445,0.709
1689.91,3.278,1.773,2.445,0.709
1690.06,3.278,1.773,2.445,0.709
1690.21,3.278,1.773,2.445,0.709
1690.36,3.278,1.773,2.445,0.709
1690.52,3.278,1.773,2.445,0.709
1690.67,3.278,1.773,2.445,0.709
1690.82,3.278,1.773,2.445,0.709
1690.97,3.278,1.773,2.445,0.709
1691.12,3.278,1.773,2.445,0.709
1691.28,3.278,1.773,2.445,0.709
1691.43,3.278,1.773,2.445,0.709
1691.58,3.278,1.773,2.445,0.709
1691.73,3.278,1.773,2.445,0.709
1691.89,3.278,1.773,2.445,0.709
1692.04,3.278,1.773,2.445,0.709
1692.19,3.278,1.773,2.445,0.709
1692.34,3.278,1.773,2.445,0.709
1692.5,3.278,1.773,2.445,0.709
1692.65,3.278,1.773,2.445,0.709
1692.8,3.278,1.773,2.445,0.709
1692.95,3.278,1.773,2.445,0.709
1693.11,3.278,1.773,2.445,0.709
1693.26,3.278,1.773,2.445,0.709
1693.41,3.278,1.773,2.445,0.709
1693.56,3.278,1.773,2.445,0.709
1693.72,3.278,1.773,2.445,0.709
1693.87,3.278,1.773,2.445,0.709
1694.02,3.278,1.773,2.445,0.709
1694.17,3.278,1.773,2.445,0.709
1694.33,3.278,1.773,2.445,0.709
1694.48,3.278,1.773,2.445,0.709
1694.63,3.278,1.773,2.445,0.709
1694.78,3.278,1.773,2.445,0.709
1694.93,3.278,1.773,2.445,0.709
1695.09,3.278,1.773,2.445,0.709
1695.24,3.278,1.773,2.445,0.709
1695.39,3.278,1.773,2.445,0.709
1695.54,3.278,1.773,2.445,0.709
1695.7,3.278,1.773,2.445,0.709
1695.85,3.278,1.773,2.445,0.709
1696.0,3.278,1.773,2.445,0.709
1696.15,3.278,1.773,2.445,0.709
1696.31,3.278,1.773,2.445,0.709
1696.46,3.278,1.773,2.445,0.709
1696.61,3.278,1.773,2.445,0.709
1696.76,3.278,1.773,2.445,0.709
1696.92,3.278,1.773,2.445,0.709
1697.07,3.278,1.773,2.445,0.709
1697.22,3.278,1.773,2.445,0.709
1697.37,3.278,1.773,2.445,0.709
1697.53,3.278,1.773,2.445,0.709
1697.68,3.278,1.773,2.445,0.709
1697.83,3.278,1.773,2.445,0.709
1697.98,3.278,1.773,2.445,0.709
1698.14,3.278,1.773,2.445,0.709
1698.29,3.278,1.773,2.445,0.709
1698.44,3.278,1.773,2.445,0.709
1698.59,3.278,1.773,2.445,0.709
1698.74,3.278,1.773,2.445,0.709
1698.9,3.278,1.773,2.445,0.709
1699.05,3.278,1.773,2.445,0.709
1699.2,3.278,1.773,2.445,0.709
1699.35,3.278,1.773,2.445,0.709
1699.51,3.278,1.773,2.445,0.709
1699.66,3.278,1.773,2.445,0.709
1699.81,3.278,1.773,2.445,0.709
1699.96,3.278,1.773,2.445,0.709
1700.12,3.278,1.773,2.445,0.709
1700.27,3.278,1.773,2.445,0.709
1700.42,3.278,1.773,2.445,0.709
1700.57,3.278,1.773,2.445,0.709
1700.73,3.278,1.773,2.445,0.709
1700.88,3.278,1.773,2.445,0.709
1701.03,3.278,1.773,2.445,0.709
1701.18,3.278,1.773,2.445,0.709
1701.34,3.278,1.773,2.445,0.709
1701.49,3.278,1.773,2.445,0.709
1701.64,3.278,1.773,2.445,0.709
1701.79,3.278,1.773,2.445,0.709
1701.95,3.278,1.773,2.445,0.709
1702.1,3.278,1.773,2.445,0.709
1702.25,3.278,1.773,2.445,0.709
1702.4,3.278,1.773,2.445,0.709
1702.55,3.278,1.773,2.445,0.709
1702.71,3.278,1.773,2.445,0.709
1702.86,3.278,1.773,2.445,0.709
1703.01,3.278,1.773,2.445,0.709
1703.16,3.278,1.773,2.445,0.709
1703.32,3.278,1.773,2.445,0.709
1703.47,3.278,1.773,2.445,0.709
1703.62,3.278,1.773,2.445,0.709
1703.77,3.278,1.773,2.445,0.709
1703.93,3.278,1.773,2.445,0.709
1704.08,3.278,1.773,2.445,0.709
1704.23,3.278,1.773,2.445,0.709
1704.38,3.278,1.773,2.445,0.709
1704.54,3.278,1.773,2.445,0.709
1704.69,3.278,1.773,2.445,0.709
1704.84,3.278,1.773,2.445,0.709
1704.99,3.278,1.773,2.445,0.709
1705.15,3.278,1.773,2.445,0.709
1705.3,3.278,1.773,2.445,0.709
1705.45,3.278,1.773,2.445,0.709
1705.6,3.278,1.773,2.445,0.709
1705.76,3.278,1.773,2.445,0.709
1705.91,3.278,1.773,2.445,0.709
1706.06,3.278,1.773,2.445,0.709
1706.21,3.278,1.773,2.445,0.709
1706.36,3.278,1.773,2.445,0.709
1706.52,3.278,1.773,2.445,0.709
1706.67,3.278,1.773,2.445,0.709
1706.82,3.278,1.773,2.445,0.709
1706.97,3.278,1.773,2.445,0.709
1707.13,3.278,1.773,2.445,0.709
1707.28,3.278,1.773,2.445,0.709
1707.43,3.278,1.773,2.445,0.709
1707.58,3.278,1.773,2.445,0.709
1707.74,3.278,1.773,2.445,0.709
1707.89,3.278,1.773,2.445,0.709
1708.04,3.278,1.773,2.445,0.709
1708.19,3.278,1.773,2.445,0.709
1708.35,3.278,1.773,2.445,0.709
1708.5,3.278,1.773,2.445,0.709
1708.65,3.278,1.773,2.445,0.709
1708.8,3.278,1.773,2.445,0.709
1708.96,3.278,1.773,2.445,0.709
1709.11,3.278,1.773,2.445,0.709
1709.26,3.278,1.773,2.445,0.709
1709.41,3.278,1.773,2.445,0.709
1709.57,3.278,1.773,2.445,0.709
1709.72,3.278,1.773,2.445,0.709
1709.87,3.278,1.773,2.445,0.709
1710.02,3.278,1.773,2.445,0.709
1710.17,3.278,1.773,2.445,0.709
1710.33,3.278,1.773,2.445,0.709
1710.48,3.278,1.773,2.445,0.709
1710.63,3.278,1.773,2.445,0.709
1710.78,3.278,1.773,2.445,0.709
1710.94,3.278,1.773,2.445,0.709
1711.09,3.278,1.773,2.445,0.709
1711.24,3.278,1.773,2.445,0.709
1711.39,3.278,1.773,2.445,0.709
1711.55,3.278,1.773,2.445,0.709
1711.7,3.278,1.773,2.445,0.709
1711.85,3.278,1.773,2.445,0.709
1712.0,3.278,1.773,2.445,0.709
1712.16,3.278,1.773,2.445,0.709
1712.31,3.278,1.773,2.445,0.709
1712.46,3.278,1.773,2.445,0.709
1712.61,3.278,1.773,2.445,0.709
1712.77,3.278,1.773,2.445,0.709
1712.92,3.278,1.773,2.445,0.709
1713.07,3.278,1.773,2.445,0.709
1713.22,3.278,1.773,2.445,0.709
1713.38,3.278,1.773,2.445,0.709
1713.53,3.278,1.773,2.445,0.709
1713.68,3.278,1.773,2.445,0.709
1713.83,3.278,1.773,2.445,0.709
1713.98,3.278,1.773,2.445,0.709
1714.14,3.278,1.773,2.445,0.709
1714.29,3.278,1.773,2.445,0.709
1714.44,3.278,1.773,2.445,0.709
1714.59,3.278,1.773,2.445,0.709
1714.75,3.278,1.773,2.445,0.709
1714.9,3.278,1.773,2.445,0.709
1715.05,3.278,1.773,2.445,0.709
1715.2,3.278,1.773,2.445,0.709
1715.36,3.278,1.773,2.445,0.709
1715.51,3.278,1.773,2.445,0.709
1715.66,3.278,1.773,2.445,0.709
1715.81,3.278,1.773,2.445,0.709
1715.97,3.278,1.773,2.445,0.709
1716.12,3.278,1.773,2.445,0.709
1716.27,3.278,1.773,2.445,0.709
1716.42,3.278,1.773,2.445,0.709
1716.58,3.278,1.773,2.445,0.709
1716.73,3.278,1.773,2.445,0.709
1716.88,3.278,1.773,2.445,0.709
1717.03,3.278,1.773,2.445,0.709
1717.19,3.278,1.773,2.445,0.709
1717.34,3.278,1.773,2.445,0.709
1717.49,3.278,1.773,2.445,0.709
1717.64,3.278,1.773,2.445,0.709
1717.79,3.278,1.773,2.445,0.709
1717.95,3.278,1.773,2.445,0.709
1718.1,3.278,1.773,2.445,0.709
1718.25,3.278,1.773,2.445,0.709
1718.4,3.278,1.773,2.445,0.709
1718.56,3.278,1.773,2.445,0.709
1718.71,3.278,1.773,2.445,0.709
1718.86,3.278,1.773,2.445,0.709
1719.01,3.278,1.773,2.445,0.709
1719.17,3.278,1.773,2.445,0.709
1719.32,3.278,1.773,2.445,0.709
1719.47,3.278,1.773,2.445,0.709
1719.62,3.278,1.773,2.445,0.709
1719.78,3.278,1.773,2.445,0.709
1719.93,3.278,1.773,2.445,0.709
1720.08,3.082,1.72,2.245,0.227
1720.23,3.082,1.72,2.245,0.227
1720.39,3.082,1.72,2.245,0.227
1720.54,3.082,1.72,2.245,0.227
1720.69,3.082,1.72,2.245,0.227
1720.84,3.082,1.72,2.245,0.227
1721.0,3.082,1.72,2.245,0.227
1721.15,3.082,1.72,2.245,0.227
1721.3,3.082,1.72,2.245,0.227
1721.45,3.082,1.72,2.245,0.227
1721.6,3.082,1.72,2.245,0.227
1721.76,3.082,1.72,2.245,0.227
1721.91,3.082,1.72,2.245,0.227
1722.06,3.082,1.72,2.245,0.227
1722.21,3.082,1.72,2.245,0.227
1722.37,3.082,1.72,2.245,0.227
1722.52,3.082,1.72,2.245,0.227
1722.67,3.082,1.72,2.245,0.227
1722.82,3.082,1.72,2.245,0.227
1722.98,3.082,1.72,2.245,0.227
1723.13,3.082,1.72,2.245,0.227
1723.28,3.082,1.72,2.245,0.227
1723.43,3.082,1.72,2.245,0.227
1723.59,3.082,1.72,2.245,0.227
1723.74,3.082,1.72,2.245,0.227
1723.89,3.082,1.72,2.245,0.227
1724.04,3.082,1.72,2.245,0.227
1724.2,3.082,1.72,2.245,0.227
1724.35,3.082,1.72,2.245,0.227
1724.5,3.082,1.72,2.245,0.227
1724.65,3.082,1.72,2.245,0.227
1724.81,3.082,1.72,2.245,0.227
1724.96,3.082,1.72,2.245,0.227
1725.11,3.082,1.72,2.245,0.227
1725.26,3.082,1.72,2.245,0.227
1725.41,3.082,1.72,2.245,0.227
1725.57,3.082,1.72,2.245,0.227
1725.72,3.082,1.72,2.245,0.227
1725.87,3.082,1.72,2.245,0.227
1726.02,3.082,1.72,2.245,0.227
1726.18,3.082,1.72,2.245,0.227
1726.33,3.082,1.72,2.245,0.227
1726.48,3.082,1.72,2.245,0.227
1726.63,3.082,1.72,2.245,0.227
1726.79,3.082,1.72,2.245,0.227
1726.94,3.082,1.72,2.245,0.227
1727.09,3.082,1.72,2.245,0.227
1727.24,3.082,1.72,2.245,0.227
1727.4,3.082,1.72,2.245,0.227
1727.55,3.082,1.72,2.245,0.227
1727.7,3.082,1.72,2.245,0.227
1727.85,3.082,1.72,2.245,0.227
1728.01,3.082,1.72,2.245,0.227
1728.16,3.082,1.72,2.245,0.227
1728.31,3.082,1.72,2.245,0.227
1728.46,3.082,1.72,2.245,0.227
1728.62,3.082,1.72,2.245,0.227
1728.77,3.082,1.72,2.245,0.227
1728.92,3.082,1.72,2.245,0.227
1729.07,3.082,1.72,2.245,0.227
1729.22,3.082,1.72,2.245,0.227
1729.38,3.082,1.72,2.245,0.227
1729.53,3.082,1.72,2.245,0.227
1729.68,3.082,1.72,2.245,0.227
1729.83,3.082,1.72,2.245,0.227
1729.99,3.082,1.72,2.245,0.227
1730.14,3.082,1.72,2.245,0.227
1730.29,3.082,1.72,2.245,0.227
1730.44,3.082,1.72,2.245,0.227
1730.6,3.082,1.72,2.245,0.227
1730.75,3.082,1.72,2.245,0.227
1730.9,3.082,1.72,2.245,0.227
1731.05,3.082,1.72,2.245,0.227
1731.21,3.082,1.72,2.245,0.227
1731.36,3.082,1.72,2.245,0.227
1731.51,3.082,1.72,2.245,0.227
1731.66,3.082,1.72,2.245,0.227
1731.82,3.082,1.72,2.245,0.227
1731.97,3.082,1.72,2.245,0.227
1732.12,3.082,1.72,2.245,0.227
1732.27,3.082,1.72,2.245,0.227
1732.43,3.082,1.72,2.245,0.227
1732.58,3.082,1.72,2.245,0.227
1732.73,3.082,1.72,2.245,0.227
1732.88,3.082,1.72,2.245,0.227
1733.03,3.082,1.72,2.245,0.227
1733.19,3.082,1.72,2.245,0.227
1733.34,3.082,1.72,2.245,0.227
1733.49,3.082,1.72,2.245,0.227
1733.64,3.082,1.72,2.245,0.227
1733.8,3.082,1.72,2.245,0.227
1733.95,3.082,1.72,2.245,0.227
1734.1,3.082,1.72,2.245,0.227
1734.25,3.082,1.72,2.245,0.227
1734.41,3.082,1.72,2.245,0.227
1734.56,3.082,1.72,2.245,0.227
1734.71,3.082,1.72,2.245,0.227
1734.86,3.082,1.72,2.245,0.227
1735.02,3.082,1.72,2.245,0.227
1735.17,3.082,1.72,2.245,0.227
1735.32,3.082,1.72,2.245,0.227
1735.47,3.082,1.72,2.245,0.227
1735.63,3.082,1.72,2.245,0.227
1735.78,3.082,1.72,2.245,0.227
1735.93,3.082,1.72,2.245,0.227
1736.08,3.082,1.72,2.245,0.227
1736.24,3.082,1.72,2.245,0.227
1736.39,3.082,1.72,2.245,0.227
1736.54,3.082,1.72,2.245,0.227
1736.69,3.082,1.72,2.245,0.227
1736.84,3.082,1.72,2.245,0.227
1737.0,3.082,1.72,2.245,0.227
1737.15,3.082,1.72,2.245,0.227
1737.3,3.082,1.72,2.245,0.227
1737.45,3.082,1.72,2.245,0.227
1737.61,3.082,1.72,2.245,0.227
1737.76,3.082,1.72,2.245,0.227
1737.91,3.082,1.72,2.245,0.227
1738.06,3.082,1.72,2.245,0.227
1738.22,3.082,1.72,2.245,0.227
1738.37,3.082,1.72,2.245,0.227
1738.52,3.082,1.72,2.245,0.227
1738.67,3.082,1.72,2.245,0.227
1738.83,3.082,1.72,2.245,0.227
1738.98,3.082,1.72,2.245,0.227
1739.13,3.082,1.72,2.245,0.227
1739.28,3.082,1.72,2.245,0.227
1739.44,3.082,1.72,2.245,0.227
1739.59,3.082,1.72,2.245,0.227
1739.74,3.082,1.72,2.245,0.227
1739.89,3.082,1.72,2.245,0.227
1740.05,3.413,1.964,2.323,0.337
1740.2,3.413,1.964,2.323,0.337
1740.35,3.413,1.964,2.323,0.337
1740.5,3.413,1.964,2.323,0.337
1740.65,3.413,1.964,2.323,0.337
1740.81,3.413,1.964,2.323,0.337
1740.96,3.413,1.964,2.323,0.337
1741.11,3.413,1.964,2.323,0.337
1741.26,3.413,1.964,2.323,0.337
1741.42,3.413,1.964,2.323,0.337
1741.57,3.413,1.964,2.323,0.337
1741.72,3.413,1.964,2.323,0.337
1741.87,3.413,1.964,2.323,0.337
1742.03,3.413,1.964,2.323,0.337
1742.18,3.413,1.964,2.323,0.337
1742.33,3.413,1.964,2.323,0.337
1742.48,3.413,1.964,2.323,0.337
1742.64,3.413,1.964,2.323,0.337
1742.79,3.413,1.964,2.323,0.337
1742.94,3.413,1.964,2.323,0.337
1743.09,3.413,1.964,2.323,0.337
1743.25,3.413,1.964,2.323,0.337
1743.4,3.413,1.964,2.323,0.337
1743.55,3.413,1.964,2.323,0.337
1743.7,3.413,1.964,2.323,0.337
1743.86,3.413,1.964,2.323,0.337
1744.01,3.413,1.964,2.323,0.337
1744.16,3.413,1.964,2.323,0.337
1744.31,3.413,1.964,2.323,0.337
1744.46,3.413,1.964,2.323,0.337
1744.62,3.413,1.964,2.323,0.337
1744.77,3.413,1.964,2.323,0.337
1744.92,3.413,1.964,2.323,0.337
1745.07,3.413,1.964,2.323,0.337
1745.23,3.413,1.964,2.323,0.337
1745.38,3.413,1.964,2.323,0.337
1745.53,3.413,1.964,2.323,0.337
1745.68,3.413,1.964,2.323,0.337
1745.84,3.413,1.964,2.323,0.337
1745.99,3.413,1.964,2.323,0.337
1746.14,3.413,1.964,2.323,0.337
1746.29,3.413,1.964,2.323,0.337
1746.45,3.413,1.964,2.323,0.337
1746.6,3.413,1.964,2.323,0.337
1746.75,3.413,1.964,2.323,0.337
1746.9,3.413,1.964,2.323,0.337
1747.06,3.413,1.964,2.323,0.337
1747.21,3.413,1.964,2.323,0.337
1747.36,3.413,1.964,2.323,0.337
1747.51,3.413,1.964,2.323,0.337
1747.67,3.413,1.964,2.323,0.337
1747.82,3.413,1.964,2.323,0.337
1747.97,3.413,1.964,2.323,0.337
1748.12,3.413,1.964,2.323,0.337
1748.27,3.413,1.964,2.323,0.337
1748.43,3.413,1.964,2.323,0.337
1748.58,3.413,1.964,2.323,0.337
1748.73,3.413,1.964,2.323,0.337
1748.88,3.413,1.964,2.323,0.337
1749.04,3.413,1.964,2.323,0.337
1749.19,3.413,1.964,2.323,0.337
1749.34,3.413,1.964,2.323,0.337
1749.49,3.413,1.964,2.323,0.337
1749.65,3.413,1.964,2.323,0.337
1749.8,3.413,1.964,2.323,0.337
1749.95,3.413,1.964,2.323,0.337
1750.1,3.413,1.964,2.323,0.337
1750.26,3.413,1.964,2.323,0.337
1750.41,3.413,1.964,2.323,0.337
1750.56,3.413,1.964,2.323,0.337
1750.71,3.413,1.964,2.323,0.337
1750.87,3.413,1.964,2.323,0.337
1751.02,3.413,1.964,2.323,0.337
